Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,00:00.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,424,0,02:20.2,02:20.8,3.55,00:00.0,0,30,58,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5692931,-0.1812355
1,431.2,0,02:22.2,02:20.1,3.57,00:00.0,0,30,59,7.2,0,---,---,---,---,---,---,---,---,---,---,52.569279,-0.181339
1,437.8,0,02:24.0,02:20.4,3.56,00:00.0,0,31,60,6.6,0,---,---,---,---,---,---,---,---,---,---,52.5692637,-0.1814329
1,444.8,0,02:26.0,02:22.4,3.51,00:00.0,0,30,61,7,0,---,---,---,---,---,---,---,---,---,---,52.5692489,-0.1815337
1,451.6,0,02:28.0,02:23.7,3.48,00:00.0,0,31,62,6.8,0,---,---,---,---,---,---,---,---,---,---,52.5692356,-0.1816318
1,458.6,0,02:30.0,02:24.9,3.45,00:00.0,0,30,63,7,0,---,---,---,---,---,---,---,---,---,---,52.5692205,-0.1817317
1,465.8,0,02:32.0,02:22.4,3.51,00:00.0,0,31,64,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5692076,-0.1818359
1,472.9,0,02:34.0,02:18.5,3.61,00:00.0,0,30,65,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5691947,-0.1819395
1,480.1,0,02:36.0,02:19.7,3.58,00:00.0,0,30,66,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5691791,-0.1820422
1,486.7,0,02:37.8,02:20.8,3.55,00:00.0,0,30,67,6.6,0,---,---,---,---,---,---,---,---,---,---,52.5691659,-0.1821368
